2019-02-23 09:29:41 INFO  BaseTest:19 - Start the test for cross-browser testing on ======= Chrome =======
2019-02-23 09:29:48 INFO  TC_01_Authorization:19 - =====Step1===== The page "https://www.21vek.by/" is open
2019-02-23 09:29:49 INFO  TC_01_Authorization:22 - =====Step2===== Open login form
2019-02-23 09:29:49 INFO  TC_01_Authorization:25 - =====Step3===== Authorization
2019-02-23 09:29:50 INFO  TC_01_Authorization:28 - =====Step4===== Logout
2019-02-23 09:29:58 INFO  BaseTest:29 - Finish Test on  Chrome
2019-02-23 11:17:12 INFO  BaseTest:19 - Start the test for cross-browser testing on ======= Chrome =======
2019-02-23 11:17:21 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:97 - =====Step1===== The page "https://www.21vek.by/" is open
2019-02-23 11:17:22 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:99 - =====Step2===== Open login form
2019-02-23 11:17:23 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:102 - =====Step3===== Authorization
2019-02-23 11:17:31 INFO  BaseTest:19 - Start the test for cross-browser testing on ======= Chrome =======
2019-02-23 11:17:39 INFO  TC_01_Authorization:19 - =====Step1===== The page "https://www.21vek.by/" is open
2019-02-23 11:17:40 INFO  TC_01_Authorization:22 - =====Step2===== Open login form
2019-02-23 11:17:40 INFO  TC_01_Authorization:25 - =====Step3===== Authorization
2019-02-23 11:17:41 INFO  TC_01_Authorization:28 - =====Step4===== Logout
2019-02-23 11:17:55 INFO  BaseTest:29 - Finish Test on  Chrome
2019-02-23 11:46:13 INFO  BaseTest:19 - Start the test for cross-browser testing on ======= Chrome =======
2019-02-23 11:46:21 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:97 - =====Step1===== The page "https://www.21vek.by/" is open
2019-02-23 11:46:21 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:99 - =====Step2===== Open login form
2019-02-23 11:46:22 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:102 - =====Step3===== Authorization
2019-02-23 11:46:22 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для кухни
2019-02-23 11:46:27 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Крупная техника
2019-02-23 11:46:32 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для кухни
2019-02-23 11:46:35 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Встраиваемая техника, оборудование
2019-02-23 11:46:41 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для кухни
